-23,12,60
-16,12,60
-14,31,59
-16,11,67
-11,1,65
-13,4,66
-17,13,65
-14,16,64
-12,22,66
-12,20,70
-20,9,68
-19,-7,67
-24,19,74
-22,27,76
-23,11,49
-20,17,48
-15,21,59
-7,8,57
-1,6,67
-4,6,66
-6,17,67
-1,-3,60
-19,5,66
-4,10,56
-12,-4,50
-21,1,58
-13,2,58
-13,14,57
-8,13,54
-10,8,56
-10,11,57
-16,3,68
-8,-5,66
-10,-11,54
-22,-24,71
-10,-26,61
14,-31,58
17,-29,43
26,-38,34
40,-53,25
44,-70,-10
62,-52,8
49,-38,11
43,-26,14
43,-29,1
23,-35,-51
71,-33,-53
57,-42,-7
43,14,-14
69,-14,-39
30,-33,-67
46,-124,-92
27,-31,-34
67,-15,1
31,-6,-30
63,-7,-17
47,30,-81
38,20,-104
52,-29,-84
93,24,-27
65,-16,-54
68,11,-40
73,-20,-40
55,5,-59
88,-5,-27
82,-54,-59
54,46,-23
37,14,-23
50,-1,-28
56,-14,-19
58,-21,-24
68,-6,-16
57,-18,-22
59,1,-36
69,-12,-38
52,-15,-39
48,-24,-54
55,7,-35
26,22,-65
63,-9,-29
59,-30,-20
51,-16,-33
57,1,-40
48,-17,-44
51,-12,-43
39,-14,-49
34,-24,-60
50,-11,-50
46,-9,-35
42,-7,-37
29,-22,-24
42,8,-49
39,3,-51
33,-10,-60
27,-8,-55
35,-11,-54
23,-8,-56
21,-14,-56
18,-14,-55
17,-14,-53
21,-22,-55
19,-11,-54
19,-19,-54
16,-14,-60
17,-15,-59
22,-19,-55
24,-21,-55
21,-17,-56
24,-16,-56
24,-19,-55
22,-15,-57
23,-17,-59
25,-16,-58
24,-15,-57
25,-12,-59
26,-16,-56
28,-17,-54
25,-16,-53
28,-17,-54
23,-17,-53
29,-20,-55
23,-17,-55
25,-17,-55
27,-18,-55
24,-18,-56
23,-17,-55
20,-10,-55
27,-14,-55
26,-12,-55
29,-24,-53
28,-12,-52
33,-21,-68
37,-17,-50
31,-17,-52
25,0,-53
23,-21,-43
35,-32,-46
46,-23,-53
47,-30,-46
40,-20,-22
-12,-13,-76
59,-28,-23
25,-9,-47
45,-13,-45
31,-27,-63
44,-40,-46
47,-35,-42
32,-13,-48
33,-12,-48
38,-22,-44
38,-17,-46
32,-17,-51
42,-19,-48
41,-19,-48
34,-20,-56
36,-15,-47
37,-13,-47
41,-18,-49
35,-19,-52
33,-16,-50
33,-12,-48
32,-11,-50
29,-11,-53
31,-13,-54
39,-18,-52
43,-27,-26
47,-16,-46
27,-21,-52
31,-18,-51
40,-11,-44
40,-16,-44
44,-21,-49
37,-17,-52
44,-15,-46
43,-17,-44
43,-15,-40
45,-16,-40
48,-20,-39
48,-22,-34
51,-16,-37
46,-15,-40
53,-20,-32
50,-14,-34
49,-14,-34
55,-18,-28
55,-17,-25
58,-17,-26
77,-16,-11
40,-17,-29
59,-20,-17
59,-19,-19
53,-22,-13
55,-23,-23
54,-26,-26
58,-3,-24
56,-24,-27
52,-16,-31
53,-17,-30
64,-24,-31
55,-19,-35
51,-17,-32
54,-18,-33
50,-16,-34
53,-17,-32
52,-16,-32
51,-18,-32
52,-17,-33
49,-15,-35
52,-17,-34
50,-18,-34
48,-17,-34
50,-23,-34
54,-10,-31
55,-16,-33
44,-13,-32
50,-15,-35
52,-12,-32
62,-25,-25
53,-18,-40
55,-18,-31
61,-22,-29
55,-15,-26
55,-21,-26
55,-19,-25
52,-17,-19
60,-19,-19
53,-17,-17
60,-20,-18
59,-26,-21
57,-22,-18
57,-28,-18
56,-22,-15
54,-23,-15
61,-23,-14
58,-27,-13
55,-23,-13
58,-26,-13
56,-23,-11
58,-26,-9
57,-22,-9
56,-24,-8
57,-20,-4
68,-28,-4
57,-12,-4
62,-27,1
72,-26,1
51,-14,1
57,-21,4
54,-16,4
58,-16,5
60,-22,10
59,-17,7
58,-18,7
59,-15,5
